state,district,year,rape,kidnaps
"MADHYA PRADESH",TOTAL,2012,3425,1127
RAJASTHAN,TOTAL,2012,2049,2697
"WEST BENGAL",TOTAL,2012,2046,4168
"UTTAR PRADESH",TOTAL,2012,1963,7910
MAHARASHTRA,TOTAL,2012,1839,1140
ASSAM,TOTAL,2012,1716,3360
ODISHA,TOTAL,2012,1458,1364
"ANDHRA PRADESH",TOTAL,2012,1341,1403
CHHATTISGARH,TOTAL,2012,1034,350
KERALA,TOTAL,2012,1019,214
BIHAR,TOTAL,2012,927,3789
JHARKHAND,TOTAL,2012,812,786
"TAMIL NADU",TOTAL,2012,737,1693
DELHI,"DELHI UT TOTAL",2012,706,2160
PUNJAB,TOTAL,2012,680,689
HARYANA,TOTAL,2012,668,900
KARNATAKA,TOTAL,2012,621,1070
GUJARAT,TOTAL,2012,473,1527
"JAMMU & KASHMIR",TOTAL,2012,303,1041
"WEST BENGAL",MURSHIDABAD,2012,257,464
"WEST BENGAL","24 PARGANAS SOUTH",2012,244,419
MAHARASHTRA,"MUMBAI COMMR.",2012,232,141
TRIPURA,TOTAL,2012,229,114
"HIMACHAL PRADESH",TOTAL,2012,183,152
"WEST BENGAL",NADIA,2012,174,374
ASSAM,NAGAON,2012,173,348
"WEST BENGAL",JALPAIGURI,2012,163,279
ASSAM,DHUBRI,2012,159,305
"WEST BENGAL",MALDA,2012,158,189
RAJASTHAN,UDAIPUR,2012,149,163
UTTARAKHAND,TOTAL,2012,148,256
RAJASTHAN,ALWAR,2012,129,154
"WEST BENGAL","24 PARGANAS NORTH",2012,118,338
DELHI,SOUTH-EAST,2012,116,306
RAJASTHAN,BHARATPUR,2012,108,168
"MADHYA PRADESH",TOTAL,2011,3406,1088
"WEST BENGAL",TOTAL,2011,2363,3711
"UTTAR PRADESH",TOTAL,2011,2042,7525
RAJASTHAN,TOTAL,2011,1800,2713
MAHARASHTRA,TOTAL,2011,1701,1252
ASSAM,TOTAL,2011,1700,3192
"ANDHRA PRADESH",TOTAL,2011,1442,1612
KERALA,TOTAL,2011,1132,221
ODISHA,TOTAL,2011,1112,1008
CHHATTISGARH,TOTAL,2011,1053,365
BIHAR,TOTAL,2011,934,3050
JHARKHAND,TOTAL,2011,784,660
HARYANA,TOTAL,2011,733,733
"TAMIL NADU",TOTAL,2011,677,1743
KARNATAKA,TOTAL,2011,636,715
DELHI,"DELHI UT TOTAL",2011,572,2085
PUNJAB,TOTAL,2011,479,517
GUJARAT,TOTAL,2011,439,1442
"WEST BENGAL",MURSHIDABAD,2011,433,492
"JAMMU & KASHMIR",TOTAL,2011,277,1023
"WEST BENGAL","24 PARGANAS SOUTH",2011,274,349
MAHARASHTRA,"MUMBAI COMMR.",2011,221,166
"WEST BENGAL",JALPAIGURI,2011,211,257
TRIPURA,TOTAL,2011,205,116
"WEST BENGAL","24 PARGANAS NORTH",2011,203,414
"WEST BENGAL",NADIA,2011,185,453
"WEST BENGAL",MALDA,2011,179,202
"HIMACHAL PRADESH",TOTAL,2011,168,191
ASSAM,NAGAON,2011,165,358
ASSAM,DHUBRI,2011,157,276
"WEST BENGAL",COOCHBEHAR,2011,133,174
"MADHYA PRADESH",SAGAR,2011,131,104
UTTARAKHAND,TOTAL,2011,129,283
"WEST BENGAL","UTTAR DINAJPUR",2011,126,149
RAJASTHAN,UDAIPUR,2011,110,162
BIHAR,KATIHAR,2011,103,102
"MADHYA PRADESH",TOTAL,2010,3135,1030
"WEST BENGAL",TOTAL,2010,2311,2764
ASSAM,TOTAL,2010,1721,2767
MAHARASHTRA,TOTAL,2010,1599,1124
RAJASTHAN,TOTAL,2010,1571,2477
"UTTAR PRADESH",TOTAL,2010,1563,5468
"ANDHRA PRADESH",TOTAL,2010,1362,1531
ODISHA,TOTAL,2010,1025,912
CHHATTISGARH,TOTAL,2010,1012,279
BIHAR,TOTAL,2010,795,2569
JHARKHAND,TOTAL,2010,773,696
HARYANA,TOTAL,2010,720,714
"TAMIL NADU",TOTAL,2010,686,1464
KERALA,TOTAL,2010,634,184
KARNATAKA,TOTAL,2010,586,586
PUNJAB,TOTAL,2010,546,576
"WEST BENGAL",MURSHIDABAD,2010,526,441
DELHI,"DELHI UT TOTAL",2010,507,1740
GUJARAT,TOTAL,2010,408,1290
"WEST BENGAL","24 PARGANAS SOUTH",2010,258,215
"JAMMU & KASHMIR",TOTAL,2010,245,840
MAHARASHTRA,"MUMBAI COMMR.",2010,194,146
ASSAM,DHUBRI,2010,181,224
"WEST BENGAL",JALPAIGURI,2010,180,206
"WEST BENGAL","24 PARGANAS NORTH",2010,173,292
"WEST BENGAL",MALDA,2010,167,122
"WEST BENGAL",NADIA,2010,167,339
"HIMACHAL PRADESH",TOTAL,2010,160,162
ASSAM,NAGAON,2010,148,293
"WEST BENGAL",COOCHBEHAR,2010,143,170
"ANDHRA PRADESH","WEST GODAVARI",2010,127,122
UTTARAKHAND,TOTAL,2010,121,249
ASSAM,GOALPARA,2010,119,117
RAJASTHAN,UDAIPUR,2010,111,151
ASSAM,BARPETA,2010,109,155
RAJASTHAN,ALWAR,2010,105,138
"MADHYA PRADESH",TOTAL,2009,2998,841
"WEST BENGAL",TOTAL,2009,2336,2187
"UTTAR PRADESH",TOTAL,2009,1759,5078
ASSAM,TOTAL,2009,1631,2092
RAJASTHAN,TOTAL,2009,1519,2310
MAHARASHTRA,TOTAL,2009,1483,926
"ANDHRA PRADESH",TOTAL,2009,1188,1526
ODISHA,TOTAL,2009,1023,799
CHHATTISGARH,TOTAL,2009,976,229
BIHAR,TOTAL,2009,929,1986
JHARKHAND,TOTAL,2009,719,517
HARYANA,TOTAL,2009,603,659
"TAMIL NADU",TOTAL,2009,596,1133
KERALA,TOTAL,2009,568,173
"WEST BENGAL",MURSHIDABAD,2009,568,342
PUNJAB,TOTAL,2009,511,513
KARNATAKA,TOTAL,2009,509,408
DELHI,"DELHI UT TOTAL",2009,469,1655
GUJARAT,TOTAL,2009,433,1162
"WEST BENGAL","24 PARGANAS SOUTH",2009,280,128
"JAMMU & KASHMIR",TOTAL,2009,237,825
"WEST BENGAL",MALDA,2009,197,132
"WEST BENGAL",JALPAIGURI,2009,193,177
"HIMACHAL PRADESH",TOTAL,2009,183,122
"WEST BENGAL",NADIA,2009,175,276
"WEST BENGAL","24 PARGANAS NORTH",2009,166,249
ASSAM,NAGAON,2009,162,221
ASSAM,DHUBRI,2009,150,147
"WEST BENGAL",COOCHBEHAR,2009,139,139
UTTARAKHAND,TOTAL,2009,111,247
RAJASTHAN,UDAIPUR,2009,109,156
RAJASTHAN,ALWAR,2009,101,128
"MADHYA PRADESH",TOTAL,2008,2937,736
"WEST BENGAL",TOTAL,2008,2263,1907
"UTTAR PRADESH",TOTAL,2008,1871,4439
MAHARASHTRA,TOTAL,2008,1558,998
ASSAM,TOTAL,2008,1438,1789
RAJASTHAN,TOTAL,2008,1355,1863
BIHAR,TOTAL,2008,1302,1789
"ANDHRA PRADESH",TOTAL,2008,1257,1396
ODISHA,TOTAL,2008,1113,762
CHHATTISGARH,TOTAL,2008,978,216
JHARKHAND,TOTAL,2008,791,499
HARYANA,TOTAL,2008,631,644
"TAMIL NADU",TOTAL,2008,573,1160
KERALA,TOTAL,2008,568,166
PUNJAB,TOTAL,2008,517,514
DELHI,"DELHI UT TOTAL",2008,466,1136
KARNATAKA,TOTAL,2008,446,405
GUJARAT,TOTAL,2008,374,1119
"WEST BENGAL",JALPAIGURI,2008,334,239
"WEST BENGAL","24 PARGANAS SOUTH",2008,308,275
"WEST BENGAL",MURSHIDABAD,2008,308,165
