district,Dacoity,Robbery
KARIMNAGAR,3,1
TOTAL,22,83
BHABHUA,1,1
DAHOD,9,12
SIVAGANGAI,1,1
AGRA,2,2
AZAMGARH,1,4
BAREILLY,2,4
ETAH,1,3
FIROZABAD,1,2
HATHRAS,2,2
JALAUN,1,3
KANNAUJ,1,2
LUCKNOW,2,2
JEHANABAD,2,4
BHARUCH,1,1
BARAGARH,1,1
NOWRANGPUR,1,4
DHOLPUR,1,1
VIJAYAWADA,1,14
"AHMEDABAD COMMR.",5,3
CHAMBA,1,2
HAMIRPUR,6,2
SHIVPURI,3,1
BEED,1,1
PATNA,3,5
HIMATNAGAR,1,1
JUNAGADH,1,8
"KHEDA NORTH",1,1
OSMANABAD,2,1
BARABANKI,4,11
CYBERABAD,3,4
DIBRUGARH,4,2
GANDHINAGAR,1,2
KUTCH,2,2
MEHSANA,1,1
"NASIK COMMR.",1,1
GAYA,4,8
MADHUBANI,1,1
NALANDA,1,1
"AHMEDABAD RURAL",2,2
"RAJKOT RURAL",1,2
SATARA,1,3
GANJAM,1,1
SITAPUR,2,1
NAGAON,2,3
SONITPUR,3,3
JAMUI,3,2
PALANPUR,2,6
PATAN,1,2
TIKAMGARH,1,1
JALGAON,1,1
MAINPURI,1,2
JAMSHEDPUR,2,1
BULDHANA,2,2
NANDED,1,1
GONDA,2,2
RAMPUR,1,7
SURENDRANAGAR,1,3
BIJAPUR,1,1
DHULE,3,2
JALNA,1,1
"SOLAPUR RURAL",3,1
FATEHPUR,1,1
GHAZIABAD,1,1
LALITPUR,1,2
AURANGABAD,2,2
"KUTCH (WEST-BHUJ)",1,1
LATUR,1,1
"PUNE RURAL",1,1
"VADODARA RURAL",1,1
"AMRAVATI RURAL",1,1
PARBHANI,4,1
