district,year,murder
DUNGARPUR,2008,0
"JAIPUR NORTH",2008,0
"JAIPUR SOUTH",2008,0
JAISALMER,2008,0
"JODHPUR CITY",2008,0
"JODHPUR RURAL",2008,0
PRATAPGARH,2008,0
RAJSAMAND,2008,0
"SAWAI MADHOPUR",2008,0
SIROHI,2008,0
TONK,2008,0
NORTH,2008,0
SOUTH,2008,0
WEST,2008,0
CHENNAI,2008,0
"CHENNAI RLY.",2008,0
"COIMBATORE URBAN",2008,0
DINDIGUL,2008,0
KANCHIPURAM,2008,0
KANYAKUMARI,2008,0
KRISHNAGIRI,2008,0
"MADURAI URBAN",2008,0
NAGAPATTINAM,2008,0
NILGIRIS,2008,0
PERAMBALUR,2008,0
PUDUKOTTAI,2008,0
RAMNATHAPURAM,2008,0
"SALEM RURAL",2008,0
"SALEM URBAN",2008,0
THANJAVUR,2008,0
THENI,2008,0
THIRUVALLUR,2008,0
THIRUVANNAMALAI,2008,0
"TRICHY RLY.",2008,0
"TRICHY RURAL",2008,0
"TRICHY URBAN",2008,0
VELLORE,2008,0
DHALAI,2008,0
DEORIA,2008,0
GHAZIPUR,2008,0
J.P.NAGAR,2008,0
JAUNPUR,2008,0
"KANPUR DEHAT",2008,0
MAHARAJGANJ,2008,0
"SANT KABIRNAGAR",2008,0
SHRAWASTI,2008,0
ALMORA,2008,0
CHAMOLI,2008,0
CHAMPAWAT,2008,0
DEHRADUN,2008,0
HARIDWAR,2008,0
"PAURI GARHWAL",2008,0
PITHORAGARH,2008,0
"RUDRA PRAYAG",2008,0
"TEHRI GARHWAL",2008,0
UTTARKASHI,2008,0
"24 PARGANAS NORTH",2008,0
"24 PARGANAS SOUTH",2008,0
ASANSOL,2008,0
BANKURA,2008,0
BIRBHUM,2008,0
BURDWAN,2008,0
COOCHBEHAR,2008,0
"DAKSHIN DINAJPUR",2008,0
DARJEELING,2008,0
HOOGHLY,2008,0
HOWRAH,2008,0
"HOWRAH G.R.P.",2008,0
JALPAIGURI,2008,0
"KHARAGPUR G.R.P.",2008,0
KOLKATA,2008,0
MALDA,2008,0
MURSHIDABAD,2008,0
NADIA,2008,0
"PASCHIM MIDNAPUR",2008,0
"PURAB MIDNAPUR",2008,0
PURULIA,2008,0
"SEALDAH G.R.P.",2008,0
"SILIGURI G.R.P.",2008,0
"UTTAR DINAJPUR",2008,0
ANDAMAN,2008,0
NICOBAR,2008,0
CHANDIGARH,2008,0
"D and N HAVELI",2008,0
DAMAN,2008,0
DIU,2008,0
CAW,2008,0
CENTRAL,2008,0
"CRIME BRANCH",2008,0
EAST,2008,0
EOW,2008,0
GRP(RLY),2008,0
"IGI AIRPORT",2008,0
"NEW DELHI",2008,0
NORTH-EAST,2008,0
NORTH-WEST,2008,0
OUTER,2008,0
SOUTH-EAST,2008,0
SOUTH-WEST,2008,0
STF,2008,0
LAKSHADWEEP,2008,0
KARAIKAL,2008,0
PUDUCHERRY,2008,0
ANANTAPUR,2009,0
CYBERABAD,2009,0
"GUNTAKAL RLY.",2009,0
"HYDERABAD CITY",2009,0
KARIMNAGAR,2009,0
PRAKASHAM,2009,0
"RANGA REDDY",2009,0
"SECUNDERABAD RLY.",2009,0
"VIJAYAWADA CITY",2009,0
"VIJAYAWADA RLY.",2009,0
"VISAKHA RURAL",2009,0
VISAKHAPATNAM,2009,0
VIZIANAGARAM,2009,0
ANJAW,2009,0
CHANGLANG,2009,0
"DIBANG VALLEY",2009,0
K/KUMEY,2009,0
"KAMENG EAST",2009,0
"KAMENG WEST",2009,0
LOHIT,2009,0
"PAPUM PARE",2009,0
"SIANG EAST",2009,0
"SIANG UPPER",2009,0
"SIANG WEST",2009,0
"SUBANSIRI LOWER",2009,0
"SUBANSIRI UPPER",2009,0
TAWANG,2009,0
TIRAP,2009,0
"UPPER DIBANG VALLEY",2009,0
TOTAL,2009,0
BARPETA,2009,0
BASKA,2009,0
BONGAIGAON,2009,0
C.I.D.,2009,0
CACHAR,2009,0
CHIRANG,2009,0
DARRANG,2009,0
DHEMAJI,2009,0
DHUBRI,2009,0
DIBRUGARH,2009,0
G.R.P.,2009,0
GOALPARA,2009,0
GOLAGHAT,2009,0
"GUWAHATI CITY",2009,0
HAILAKANDI,2009,0
JORHAT,2009,0
KAMRUP,2009,0
"KARBI ANGLONG",2009,0
KARIMGANJ,2009,0
KOKRAJHAR,2009,0
LAKHIMPUR,2009,0
MORIGAON,2009,0
N.C.HILLS,2009,0
NAGAON,2009,0
NALBARI,2009,0
R.P.O.,2009,0
SIBSAGAR,2009,0
SONITPUR,2009,0
TINSUKIA,2009,0
UDALGURI,2009,0
ARWAL,2009,0
AURANGABAD,2009,0
BAGAHA,2009,0
BANKA,2009,0
BEGUSARAI,2009,0
BETTIAH,2009,0
BHABHUA,2009,0
BHAGALPUR,2009,0
BHOJPUR,2009,0
BUXAR,2009,0
DARBHANGA,2009,0
"JAMALPUR RLY.",2009,0
JAMUI,2009,0
JEHANABAD,2009,0
"KATIHAR RLY.",2009,0
KHAGARIA,2009,0
KISHANGANJ,2009,0
LAKHISARAI,2009,0
MADHEPURA,2009,0
MADHUBANI,2009,0
MOTIHARI,2009,0
MUNGER,2009,0
MUZAFFARPUR,2009,0
