state,district,murder,no_of_districts
MIZORAM,LAWNGTLAI,3,7
MIZORAM,SAIHA,2,7
MIZORAM,SERCHHIP,1,7
SIKKIM,NORTH,1,7
"ARUNACHAL PRADESH","SUBANSIRI UPPER",4,6
"DELHI UT","IGI AIRPORT",1,6
GUJARAT,NAVSARI,26,5
ASSAM,DHEMAJI,20,5
"JAMMU & KASHMIR",UDHAMPUR,10,5
"HIMACHAL PRADESH",BILASPUR,8,5
JHARKHAND,"DHANBAD RLY.",5,5
"MADHYA PRADESH","INDORE RLY.",3,5
"HIMACHAL PRADESH",KINNAUR,2,5
"HIMACHAL PRADESH",LAHAUL-SPITI,1,5
"JAMMU & KASHMIR",RAILWAYS,1,5
"ARUNACHAL PRADESH","SIANG UPPER",1,5
MAHARASHTRA,KOLHAPUR,65,5
JHARKHAND,LATEHAR,43,5
"MADHYA PRADESH",BETUL,65,4
KARNATAKA,BELLARY,58,4
JHARKHAND,BOKARO,58,4
JHARKHAND,SARAIKELA,51,4
MAHARASHTRA,NANDURBAR,43,4
GUJARAT,"RAJKOT RURAL",41,4
RAJASTHAN,BIKANER,39,4
GUJARAT,PALANPUR,38,4
GUJARAT,"RAJKOT COMMR.",37,4
ODISHA,MALKANGIR,36,4
RAJASTHAN,JALORE,21,4
PUNJAB,"FATEHGARH SAHIB",17,4
KARNATAKA,"DHARWAD COMMR.",17,4
MEGHALAYA,"KHASI HILLS WEST",16,4
"HIMACHAL PRADESH",SHIMLA,15,4
"A & N ISLANDS",TOTAL,15,4
"TAMIL NADU","THIRUNELVELI URBAN",12,4
UTTARAKHAND,"TEHRI GARHWAL",11,4
ODISHA,SONEPUR,9,4
"ANDHRA PRADESH","GUNTAKAL RLY.",7,4
"ARUNACHAL PRADESH","PAPUM PARE",7,4
GUJARAT,AHWA-DANG,6,4
"HIMACHAL PRADESH",UNA,6,4
"DAMAN & DIU",DAMAN,6,4
BIHAR,"JAMALPUR RLY.",6,4
MIZORAM,CHAMPHAI,6,4
"DELHI UT","NEW DELHI",6,4
NAGALAND,ZUNHEBOTO,4,4
MIZORAM,KOLASIB,4,4
NAGALAND,PEREN,4,4
"ARUNACHAL PRADESH","KAMENG EAST",4,4
"MADHYA PRADESH","JABALPUR RLY.",4,4
"ARUNACHAL PRADESH","SUBANSIRI LOWER",4,4
MANIPUR,TAMENGLONG,3,4
"ANDHRA PRADESH","VIJAYAWADA RLY.",3,4
"ARUNACHAL PRADESH","KAMENG WEST",3,4
"ARUNACHAL PRADESH",TAWANG,2,4
"WEST BENGAL","SILIGURI G.R.P.",2,4
MIZORAM,LUNGLEI,2,4
"JAMMU & KASHMIR",LEH,2,4
MIZORAM,MAMIT,1,4
"ARUNACHAL PRADESH","DIBANG VALLEY",1,4
KERALA,RAILWAYS,1,4
"DELHI UT","CRIME BRANCH",1,4
"TAMIL NADU","CHENNAI RLY.",1,4
"JAMMU & KASHMIR",KARGIL,1,4
NAGALAND,KIPHIRE,1,4
"DAMAN & DIU",DIU,1,4
RAJASTHAN,BHILWARA,34,3
"UTTAR PRADESH",DEORIA,34,3
RAJASTHAN,BANSWARA,34,3
"MADHYA PRADESH",KATNI,33,3
BIHAR,SHEIKHPURA,33,3
JHARKHAND,LOHARDAGGA,33,3
ODISHA,BARAGARH,33,3
ODISHA,BOLANGIR,32,3
"UTTAR PRADESH",BALLIA,32,3
"ANDHRA PRADESH",SRIKAKULAM,31,3
ASSAM,LAKHIMPUR,31,3
ASSAM,GOALPARA,31,3
JHARKHAND,CHATRA,31,3
JHARKHAND,GODDA,31,3
JHARKHAND,KODERMA,30,3
PUDUCHERRY,TOTAL,29,3
ODISHA,NAYAGARH,28,3
PUNJAB,MANSA,28,3
HARYANA,MAHENDRAGARH,28,3
PUNJAB,MOGA,27,3
PUNJAB,ROPAR,27,3
KERALA,KANNUR,26,3
KARNATAKA,"MYSORE COMMR.",26,3
"TAMIL NADU",KARUR,26,3
"UTTAR PRADESH",MAHARAJGANJ,25,3
"DELHI UT",NORTH,25,3
"UTTAR PRADESH",CHANDOLI,25,3
KERALA,"ERNAKULAM RURAL",25,3
KARNATAKA,KOPPAL,25,3
KARNATAKA,HAVERI,25,3
BIHAR,"PATNA RLY.",24,3
GUJARAT,PATAN,24,3
RAJASTHAN,"SAWAI MADHOPUR",24,3
"UTTAR PRADESH",BASTI,24,3
ODISHA,ROURKELA,23,3
RAJASTHAN,DUNGARPUR,23,3
BIHAR,ARWAL,23,3
GUJARAT,GANDHINAGAR,23,3
GOA,"NORTH GOA",22,3
PUNJAB,GURDASPUR,22,3
"TAMIL NADU","COIMBATORE URBAN",22,3
PUNJAB,KHANNA,21,3
CHANDIGARH,CHANDIGARH,21,3
CHANDIGARH,TOTAL,21,3
ASSAM,MORIGAON,20,3
TRIPURA,DHALAI,20,3
PUNJAB,GURDASPUR,19,3
"TAMIL NADU",KARUR,19,3
"UTTAR PRADESH","SANT KABIRNAGAR",19,3
ASSAM,HAILAKANDI,18,3
RAJASTHAN,RAJSAMAND,18,3
"UTTAR PRADESH",SHRAWASTI,18,3
"HIMACHAL PRADESH",SHIMLA,18,3
"MADHYA PRADESH",NEEMUCH,18,3
ODISHA,BERHAMPUR,18,3
ODISHA,NUAPADA,17,3
RAJASTHAN,"JAIPUR NORTH",17,3
PUNJAB,FARIDKOT,17,3
PUNJAB,KHANNA,17,3
"UTTAR PRADESH","SANT KABIRNAGAR",16,3
MEGHALAYA,RI-BHOI,16,3
KARNATAKA,K.G.F.,16,3
ASSAM,BONGAIGAON,15,3
"UTTAR PRADESH",BALRAMPUR,15,3
NAGALAND,DIMAPUR,15,3
KARNATAKA,UDUPI,15,3
GUJARAT,NARMADA,15,3
CHHATTISGARH,DHAMTARI,14,3
MAHARASHTRA,SINDHUDURG,14,3
KARNATAKA,K.G.F.,14,3
"A & N ISLANDS",ANDAMAN,14,3
"MADHYA PRADESH",NEEMUCH,13,3
MIZORAM,AIZAWL,12,3
PUNJAB,FARIDKOT,12,3
ODISHA,DEOGARH,12,3
KARNATAKA,K.G.F.,12,3
PUNJAB,BARNALA,12,3
ODISHA,GAJAPATI,12,3
KERALA,WAYANADU,11,3
"D & N HAVELI","D and N HAVELI",11,3
"D & N HAVELI",TOTAL,11,3
UTTARAKHAND,BAGESHWAR,10,3
MEGHALAYA,"GARO HILLS EAST",10,3
"JAMMU & KASHMIR",KULGAM,10,3
MEGHALAYA,"GARO HILLS EAST",9,3
"WEST BENGAL","HOWRAH G.R.P.",9,3
"JAMMU & KASHMIR",SAMBA,9,3
KERALA,WAYANADU,9,3
PUNJAB,G.R.P,9,3
"ARUNACHAL PRADESH",CHANGLANG,9,3
"HIMACHAL PRADESH",SIRMAUR,9,3
"ARUNACHAL PRADESH","SUBANSIRI LOWER",8,3
JHARKHAND,"JAMSHEDPUR RLY.",8,3
ODISHA,SRP(ROURKELA),8,3
"ARUNACHAL PRADESH",TIRAP,7,3
GUJARAT,AHWA-DANG,7,3
UTTARAKHAND,"TEHRI GARHWAL",7,3
KERALA,"KOZHIKODE COMMR.",7,3
RAJASTHAN,JAISALMER,7,3
"JAMMU & KASHMIR",BORDER,7,3
ASSAM,G.R.P.,6,3
ODISHA,SRP(ROURKELA),6,3
UTTARAKHAND,UTTARKASHI,6,3
JHARKHAND,"JAMSHEDPUR RLY.",6,3
"DAMAN & DIU",TOTAL,6,3
ASSAM,R.P.O.,6,3
NAGALAND,MON,6,3
"ARUNACHAL PRADESH","KAMENG WEST",6,3
"ARUNACHAL PRADESH","SIANG WEST",6,3
"HIMACHAL PRADESH",HAMIRPUR,6,3
"JAMMU & KASHMIR",HANDWARA,6,3
MIZORAM,CHAMPHAI,5,3
MAHARASHTRA,"NAGPUR RLY.",5,3
"DAMAN & DIU",TOTAL,5,3
"ARUNACHAL PRADESH","SIANG EAST",5,3
MIZORAM,KOLASIB,5,3
UTTARAKHAND,"RUDRA PRAYAG",5,3
UTTARAKHAND,PITHORAGARH,5,3
PUNJAB,G.R.P,5,3
MAHARASHTRA,"PUNE RLY.",4,3
MANIPUR,UKHRUL,4,3
"ARUNACHAL PRADESH","SIANG WEST",4,3
"WEST BENGAL","SILIGURI G.R.P.",4,3
NAGALAND,WOKHA,4,3
MIZORAM,CHAMPHAI,4,3
RAJASTHAN,G.R.P.,4,3
"MADHYA PRADESH","BHOPAL RLY.",4,3
"JAMMU & KASHMIR",GANDERBAL,4,3
"JAMMU & KASHMIR",BUDGAM,3,3
"ARUNACHAL PRADESH","SIANG EAST",3,3
MAHARASHTRA,"PUNE RLY.",3,3
NAGALAND,MOKOKCHUNG,3,3
"ARUNACHAL PRADESH","DIBANG VALLEY",3,3
MIZORAM,MAMIT,3,3
ODISHA,SRP(CUTTACK),3,3
"WEST BENGAL","SILIGURI G.R.P.",3,3
"ARUNACHAL PRADESH","KAMENG EAST",3,3
"ARUNACHAL PRADESH",TIRAP,3,3
"HIMACHAL PRADESH",KINNAUR,3,3
"ANDHRA PRADESH","VIJAYAWADA RLY.",2,3
CHHATTISGARH,"GRP RAIPUR",2,3
SIKKIM,SOUTH,2,3
"WEST BENGAL","KHARAGPUR G.R.P.",2,3
NAGALAND,PHEK,2,3
ODISHA,SRP(CUTTACK),2,3
SIKKIM,WEST,2,3
UTTARAKHAND,CHAMPAWAT,2,3
NAGALAND,LONGLENG,1,3
SIKKIM,SOUTH,1,3
UTTARAKHAND,CHAMOLI,1,3
LAKSHADWEEP,LAKSHADWEEP,1,3
LAKSHADWEEP,TOTAL,1,3
"JAMMU & KASHMIR","CRIME JAMMU",1,3
NAGALAND,ZUNHEBOTO,1,3
CHHATTISGARH,"GRP RAIPUR",1,3
NAGALAND,TUENSANG,1,3
"WEST BENGAL",TOTAL,1425,3
