year,state,population
2001,A&N islands,356265
2001,Andhra Pradesh,75727541
2001,Arunachal Pradesh,1091117
2001,Assam,26638407
2001,Bihar,82878796
2001,Chandigarh,900914
2001,Chhattisgarh,20795956
2001,Dadra and Nagar Haveli,220451
2001,Daman and Diu,158059
2001,Delhi,13782976
2001,Goa,1343998
2001,Gujarat,50596992
2001,Haryana,21082989
2001,Himachal Pradesh,6077248
2001,Jammu and Kashmir,10069917
2001,Jharkhand,26909428
2001,Karnataka,52733958
2001,Kerala,31838619
2001,Lakshadweep,60595
2001,Madhya Pradesh,60385118
2001,Maharashtra,96752247
2001,Manipur,2388634
2001,Meghalya,2306069
2001,Mizoram,891058
2001,Nagaland,1988636
2001,Odisha,36706920
2001,Puducherry,973829
2001,Punjab,24289296
2001,Rajasthan,56473122
2001,Sikkim,540493
2001,Tamil Nadu,62110839
2001,Tripura,3191168
2001,Uttar Pradesh,166052859
2001,Uttarakhand,8479562
2001,West Bengal,80221171
2002,A&N islands,358291
2002,Andhra Pradesh,76465311
2002,Arunachal Pradesh,1115501
2002,Assam,27019004
2002,Bihar,84647184
2002,Chandigarh,913792
2002,Chhattisgarh,21191726
2002,Dadra and Nagar Haveli,230723
2002,Daman and Diu,165158
2002,Delhi,1353544
2002,Goa,51417217
2002,Gujarat,21438695
2002,Haryana,6142861
2002,Himachal Pradesh,10275866
2002,Jammu and Kashmir,27415987
2002,Jharkhand,53430736
2002,Karnataka,31969239
2002,Kerala,60918
2002,Lakshadweep,61405259
2002,Madhya Pradesh,98054088
2002,Maharashtra,2427564
2002,Manipur,2361137
2002,Meghalya,908237
2002,Mizoram,1989480
2002,Nagaland,14033390
2002,Odisha,37145862
2002,Puducherry,996673
2002,Punjab,24577133
2002,Rajasthan,57479398
2002,Sikkim,546333
2002,Tamil Nadu,62947188
2002,Tripura,3231397
2002,Uttar Pradesh,168866149
2002,Uttarakhand,8613456
2002,West Bengal,81142416
2003,A&N islands,360502
2003,Andhra Pradesh,77270150
2003,Arunachal Pradesh,1142102
2003,Assam,27434202
2003,Bihar,86576335
2003,Chandigarh,927841
2003,Chhattisgarh,21623475
2003,Dadra and Nagar Haveli,241928
2003,Daman and Diu,172902
2003,Delhi,1363957
2003,Goa,52312008
2003,Gujarat,21826738
2003,Haryana,6214438
2003,Himachal Pradesh,10500537
2003,Jammu and Kashmir,27968596
2003,Jharkhand,54190858
2003,Karnataka,32111734
2003,Kerala,61271
2003,Lakshadweep,62518140
2003,Madhya Pradesh,99474277
2003,Maharashtra,2470033
2003,Manipur,2421212
2003,Meghalya,926978
2003,Mizoram,1990401
2003,Nagaland,14306568
2003,Odisha,37624707
2003,Puducherry,1021593
2003,Punjab,24891137
2003,Rajasthan,58577154
2003,Sikkim,552705
2003,Tamil Nadu,63859569
2003,Tripura,3275283
2003,Uttar Pradesh,171935193
2003,Uttarakhand,8759523
2003,West Bengal,82147411
2004,A&N islands,362712
2004,Andhra Pradesh,78074990
2004,Arunachal Pradesh,1168703
2004,Assam,27849399
2004,Bihar,88505485
2004,Chandigarh,941889
2004,Chhattisgarh,22055225
2004,Dadra and Nagar Haveli,253133
2004,Daman and Diu,180647
2004,Delhi,1374370
2004,Goa,53206799
2004,Gujarat,22214781
2004,Haryana,6286016
2004,Himachal Pradesh,10725208
2004,Jammu and Kashmir,28521206
2004,Jharkhand,54950980
2004,Karnataka,32254229
2004,Kerala,61623
2004,Lakshadweep,63631021
2004,Madhya Pradesh,100894467
2004,Maharashtra,2512502
2004,Manipur,2481286
2004,Meghalya,945718
2004,Mizoram,1991323
2004,Nagaland,14579747
2004,Odisha,38103552
2004,Puducherry,1046513
2004,Punjab,25205140
2004,Rajasthan,59674910
2004,Sikkim,559076
2004,Tamil Nadu,64771950
2004,Tripura,3319170
2004,Uttar Pradesh,175004237
2004,Uttarakhand,8905589
2004,West Bengal,83152406
2005,A&N islands,364923
2005,Andhra Pradesh,78879830
2005,Arunachal Pradesh,1195304
2005,Assam,28264596
2005,Bihar,90434636
2005,Chandigarh,955938
2005,Chhattisgarh,22486974
2005,Dadra and Nagar Haveli,264338
2005,Daman and Diu,188391
2005,Delhi,1384784
2005,Goa,54101590
2005,Gujarat,22602824
2005,Haryana,6357594
2005,Himachal Pradesh,10949880
2005,Jammu and Kashmir,29073816
2005,Jharkhand,55711101
2005,Karnataka,32396723
2005,Kerala,61976
2005,Lakshadweep,64743902
2005,Madhya Pradesh,102314656
2005,Maharashtra,2554971
2005,Manipur,2541361
2005,Meghalya,964459
2005,Mizoram,1992244
2005,Nagaland,14852926
2005,Odisha,38582397
2005,Puducherry,1071434
2005,Punjab,25519144
2005,Rajasthan,60772666
2005,Sikkim,565447
2005,Tamil Nadu,65684331
2005,Tripura,3363056
2005,Uttar Pradesh,178073281
2005,Uttarakhand,9051655
2005,West Bengal,84157401
2006,A&N islands,367134
2006,Andhra Pradesh,79684669
2006,Arunachal Pradesh,1221905
2006,Assam,28679793
2006,Bihar,92363786
2006,Chandigarh,969987
2006,Chhattisgarh,22918723
2006,Dadra and Nagar Haveli,275544
2006,Daman and Diu,196135
2006,Delhi,1395197
2006,Goa,54996381
2006,Gujarat,22990867
2006,Haryana,6429171
2006,Himachal Pradesh,11174551
2006,Jammu and Kashmir,29626425
2006,Jharkhand,56471223
2006,Karnataka,32539218
2006,Kerala,62328
2006,Lakshadweep,65856783
2006,Madhya Pradesh,103734846
2006,Maharashtra,2597440
2006,Manipur,2601436
2006,Meghalya,983200
2006,Mizoram,1993165
2006,Nagaland,15126104
2006,Odisha,39061243
2006,Puducherry,1096354
2006,Punjab,25833148
2006,Rajasthan,61870422
2006,Sikkim,571818
2006,Tamil Nadu,66596712
2006,Tripura,3406942
2006,Uttar Pradesh,181142324
2006,Uttarakhand,9197722
2006,West Bengal,85162396
2007,A&N islands,369344
2007,Andhra Pradesh,80489509
2007,Arunachal Pradesh,1248506
2007,Assam,29094990
2007,Bihar,94292937
2007,Chandigarh,984036
2007,Chhattisgarh,23350473
2007,Dadra and Nagar Haveli,286749
2007,Daman and Diu,203880
2007,Delhi,1405610
2007,Goa,55891172
2007,Gujarat,23378910
2007,Haryana,6500749
2007,Himachal Pradesh,11399223
2007,Jammu and Kashmir,30179035
2007,Jharkhand,57231345
2007,Karnataka,32681713
2007,Kerala,62681
2007,Lakshadweep,66969664
2007,Madhya Pradesh,105155036
2007,Maharashtra,2639909
2007,Manipur,2661510
2007,Meghalya,1001941
2007,Mizoram,1994086
2007,Nagaland,15399283
2007,Odisha,39540088
2007,Puducherry,1121274
2007,Punjab,26147152
2007,Rajasthan,62968178
2007,Sikkim,578190
2007,Tamil Nadu,67509093
2007,Tripura,3450828
2007,Uttar Pradesh,184211368
2007,Uttarakhand,9343788
2007,West Bengal,86167391
2008,A&N islands,371555
2008,Andhra Pradesh,81294348
2008,Arunachal Pradesh,1275107
2008,Assam,29510188
2008,Bihar,96222087
2008,Chandigarh,998084
2008,Chhattisgarh,23782222
2008,Dadra and Nagar Haveli,297954
2008,Daman and Diu,211624
2008,Delhi,1416024
2008,Goa,56785962
2008,Gujarat,23766953
2008,Haryana,6572327
2008,Himachal Pradesh,11623894
2008,Jammu and Kashmir,30731645
2008,Jharkhand,57991467
2008,Karnataka,32824208
2008,Kerala,63033
2008,Lakshadweep,68082545
2008,Madhya Pradesh,106575225
2008,Maharashtra,2682379
2008,Manipur,2721585
2008,Meghalya,1020681
2008,Mizoram,1995008
2008,Nagaland,15672462
2008,Odisha,40018933
2008,Puducherry,1146195
2008,Punjab,26461156
2008,Rajasthan,64065934
2008,Sikkim,584561
2008,Tamil Nadu,68421474
2008,Tripura,3494715
2008,Uttar Pradesh,187280412
2008,Uttarakhand,9489854
2008,West Bengal,87172386
2009,A&N islands,373765
2009,Andhra Pradesh,82099188
2009,Arunachal Pradesh,1301708
2009,Assam,29925385
2009,Bihar,98151238
2009,Chandigarh,1012133
2009,Chhattisgarh,24213971
2009,Dadra and Nagar Haveli,309159
2009,Daman and Diu,219369
2009,Delhi,1426437
2009,Goa,57680753
2009,Gujarat,24154996
2009,Haryana,6643904
2009,Himachal Pradesh,11848565
2009,Jammu and Kashmir,31284254
2009,Jharkhand,58751588
2009,Karnataka,32966702
2009,Kerala,63386
2009,Lakshadweep,69195426
2009,Madhya Pradesh,107995415
2009,Maharashtra,2724848
2009,Manipur,2781659
2009,Meghalya,1039422
2009,Mizoram,1995929
2009,Nagaland,15945640
2009,Odisha,40497778
2009,Puducherry,1171115
2009,Punjab,26775160
2009,Rajasthan,65163690
2009,Sikkim,590932
2009,Tamil Nadu,69333855
2009,Tripura,3538601
2009,Uttar Pradesh,190349456
2009,Uttarakhand,9635921
2009,West Bengal,88177381
2010,A&N islands,375976
2010,Andhra Pradesh,82904028
2010,Arunachal Pradesh,1328308
2010,Assam,30340582
2010,Bihar,100080388
2010,Chandigarh,1026182
2010,Chhattisgarh,24645720
2010,Dadra and Nagar Haveli,320365
2010,Daman and Diu,227113
2010,Delhi,1436850
2010,Goa,58575544
2010,Gujarat,24543039
2010,Haryana,6715482
2010,Himachal Pradesh,12073237
2010,Jammu and Kashmir,31836864
2010,Jharkhand,59511710
2010,Karnataka,33109197
2010,Kerala,63739
2010,Lakshadweep,70308307
2010,Madhya Pradesh,109415605
2010,Maharashtra,2767317
2010,Manipur,2841734
2010,Meghalya,1058163
2010,Mizoram,1996850
2010,Nagaland,16218819
2010,Odisha,40976624
2010,Puducherry,1196036
2010,Punjab,27089163
2010,Rajasthan,66261446
2010,Sikkim,597304
2010,Tamil Nadu,70246236
2010,Tripura,3582487
2010,Uttar Pradesh,193418500
2010,Uttarakhand,9781987
2010,West Bengal,89182376
2011,A&N islands,380581
2011,Andhra Pradesh,84580777
2011,Arunachal Pradesh,1383727
2011,Assam,31205576
2011,Bihar,104099452
2011,Chandigarh,1055450
2011,Chhattisgarh,25545198
2011,Dadra and Nagar Haveli,343709
2011,Daman and Diu,243247
2011,Delhi,1458545
2011,Goa,60439692
2011,Gujarat,25351462
2011,Haryana,6864602
2011,Himachal Pradesh,12541302
2011,Jammu and Kashmir,32988134
2011,Jharkhand,61095297
2011,Karnataka,33406061
2011,Kerala,64473
2011,Lakshadweep,72626809
2011,Madhya Pradesh,112374333
2011,Maharashtra,2855794
2011,Manipur,2966889
2011,Meghalya,1097206
2011,Mizoram,1978502
2011,Nagaland,16787941
2011,Odisha,41974218
2011,Puducherry,1247953
2011,Punjab,27743338
2011,Rajasthan,68548437
2011,Sikkim,610577
2011,Tamil Nadu,72147030
2011,Tripura,3673917
2011,Uttar Pradesh,199812341
2011,Uttarakhand,10086292
2011,West Bengal,91276115
2012,A&N islands,380397
2012,Andhra Pradesh,84513707
2012,Arunachal Pradesh,1381510
2012,Assam,31170976
2012,Bihar,103938689
2012,Chandigarh,1054279
2012,Chhattisgarh,25509219
2012,Dadra and Nagar Haveli,342775
2012,Daman and Diu,242602
2012,Delhi,1457677
2012,Goa,60365126
2012,Gujarat,25319125
2012,Haryana,6858637
2012,Himachal Pradesh,12522579
2012,Jammu and Kashmir,32942083
2012,Jharkhand,61031954
2012,Karnataka,33394186
2012,Kerala,64444
2012,Lakshadweep,72534069
2012,Madhya Pradesh,112255984
2012,Maharashtra,2852255
2012,Manipur,2961883
2012,Meghalya,1095644
2012,Mizoram,1998693
2012,Nagaland,16765176
2012,Odisha,41934314
2012,Puducherry,1245876
2012,Punjab,27717171
2012,Rajasthan,68456957
2012,Sikkim,610046
2012,Tamil Nadu,72070998
2012,Tripura,3670260
2012,Uttar Pradesh,199556587
2012,Uttarakhand,10074120
2012,West Bengal,91192365
