Year,State, Population 
2001,Jammu and Kashmir,10069917
2001,Himachal Pradesh,6077248
2001,Punjab,24289296
2001,Chandigarh,900914
2001,Uttaranchal,8479562
2001,Haryana,21082989
2001,Delhi,13782976
2001,Rajasthan,56473122
2001,Uttar Pradesh,166052859
2001,Bihar,82878796
2001,Sikkim,540493
2001,Arunachal Pradesh,1091117
2001,Nagaland,1988636
2001,Manipur,2388634
2001,Mizoram,891058
2001,Tripura,3191168
2001,Meghalaya,2306069
2001,Assam,26638407
2001,West Bengal,80221171
2001,Jharkhand,26909428
2001,Orissa,36706920
2001,Chhatisgarh,20795956
2001,Madhya Pradesh,60385118
2001,Gujarat,50596992
2001,Daman & Diu,158059
2001,Dadra & Nagar Haveli,220451
2001,Maharashtra,96752247
2001,Andhra Pradesh,75727541
2001,Karnataka,52733958
2001,Goa,1343998
2001,Lakshadweep,60595
2001,Kerala,31838619
2001,Tamil Nadu,62110839
2001,Pondicherry,973829
2001,Andaman & Nicobar Islands*,356265
2002,JAMMU & KASHMIR,10275866
2002,HIMACHAL PRADESH,6142861
2002,PUNJAB,24577133
2002,CHANDIGARH,913792
2002,UTTARAKHAND,8613456
2002,HARYANA,21438695
2002,NCT OF DELHI,14033390
2002,RAJASTHAN,57479398
2002,UTTAR PRADESH,168866149
2002,BIHAR,84647184
2002,SIKKIM,546333
2002,ARUNACHAL PRADESH,1115501
2002,NAGALAND,1989480
2002,MANIPUR,2427564
2002,MIZORAM,908237
2002,TRIPURA,3231397
2002,MEGHALAYA,2361137
2002,ASSAM,27019004
2002,WEST BENGAL,81142416
2002,JHARKHAND,27415987
2002,ODISHA,37145862
2002,CHHATTISGARH,21191726
2002,MADHYA PRADESH,61405259
2002,GUJARAT,51417217
2002,DAMAN & DIU,165158
2002,DADRA & NAGAR HAVELI,230723
2002,MAHARASHTRA,98054088
2002,ANDHRA PRADESH,76465311
2002,KARNATAKA,53430736
2002,GOA,1353544
2002,LAKSHADWEEP,60918
2002,KERALA,31969239
2002,TAMIL NADU,62947188
2002,PUDUCHERRY,996673
2002,ANDAMAN & NICOBAR ISLANDS,358291
2003,JAMMU & KASHMIR,10500537
2003,HIMACHAL PRADESH,6214438
2003,PUNJAB,24891137
2003,CHANDIGARH,927841
2003,UTTARAKHAND,8759523
2003,HARYANA,21826738
2003,NCT OF DELHI,14306568
2003,RAJASTHAN,58577154
2003,UTTAR PRADESH,171935193
2003,BIHAR,86576335
2003,SIKKIM,552705
2003,ARUNACHAL PRADESH,1142102
2003,NAGALAND,1990401
2003,MANIPUR,2470033
2003,MIZORAM,926978
2003,TRIPURA,3275283
2003,MEGHALAYA,2421212
2003,ASSAM,27434202
2003,WEST BENGAL,82147411
2003,JHARKHAND,27968596
2003,ODISHA,37624707
2003,CHHATTISGARH,21623475
2003,MADHYA PRADESH,62518140
2003,GUJARAT,52312008
2003,DAMAN & DIU,172902
2003,DADRA & NAGAR HAVELI,241928
2003,MAHARASHTRA,99474277
2003,ANDHRA PRADESH,77270150
2003,KARNATAKA,54190858
2003,GOA,1363957
2003,LAKSHADWEEP,61271
2003,KERALA,32111734
2003,TAMIL NADU,63859569
2003,PUDUCHERRY,1021593
2003,ANDAMAN & NICOBAR ISLANDS,360502
2004,JAMMU & KASHMIR,10725208
2004,HIMACHAL PRADESH,6286016
2004,PUNJAB,25205140
2004,CHANDIGARH,941889
2004,UTTARAKHAND,8905589
2004,HARYANA,22214781
2004,NCT OF DELHI,14579747
